Hero,Win_rate,Rank
Doomfist,62.9,Grandmaster
Bastion,49.19,Grandmaster
Zenyatta,62.5,Grandmaster
Sombra,50.54,Grandmaster
Genji,53.93,Grandmaster
D.Va,54.22,Grandmaster
Junkrat,56.79,Grandmaster
Symmetra,50.0,Grandmaster
Pharah,60.81,Grandmaster
Mei,41.43,Grandmaster
Winston,51.85,Grandmaster
Reaper,70.0,Grandmaster
